Knut Schfleck 
Peer Verser 
Klaus Uhr 
Rainer Verlust 
Eric fik van Hinten 
Ann Geber 
Eva N.Gelium 
Dick Erchen 
Ed Ding 
Dr.Acula 
Kasimir Fickdusiemir 
Dick Tator 
Bill Ich 
Elli Fant 
Dick S.Ding 
Bill Yard 
Harry Bo
Hella Wahnsinn 
Hans Maul 
Jim Panse 
Jäger Schnitzel 
Kid Zler 
Klaus Trophobie 
Miss Ratten
Ken Tucky 
Karl Ender 
Lee Kör 
K. Melle 
Klara Fall 
Al K. Ohol
Ali Mente
Anna Bolika
Lars Vegas
Marie Huana
Perry Ode
Sham Paine
Rose Ette
Anna L.
Wilma Ficken
Vater Morgana
M. N. Taler
