Be nice and clean the table! You can also drink 3 times, but the host hasn't earned it at least once?1;3;0
Kiss all the women on the cheek or drink 4 times.;1;4;0
Give all the boys a kiss on the cheek or drink 4 times; 1; 4; 0
Drink 2 sips if your real name is not used on Facebook.;1;2;0
Which 2 people of who are present would you most like to see in a porno? Scared to tell them? Drink 3 times!;1;3;0
Guess how many sexual partners each player had. If you're off by more than 1, you have to drink 2 times.;1;2;0
Cuddle with your left neighbor for 2 rounds. You can also drink 3 times, cheers!;1;3;0
You have one minute to find out whose hair is the best, the winner distributes 5 gulps.;1;5;60
Have a conversation with a chair and pretend that it is answering, otherwise 2 gulps.;1;2;0
Let your left friend apply lipstick with his/her eyes closed. He should try hard otherwise you have to drink 2 times.;1;2;0
Down your glass or take off a piece of clothing.;1;0;0
Hahaha you have to stand for the next 2 rounds. Drink 2 times if you want to show everyone that you're a lazy piece of ****!;1;2;0
Be nice and hug the player to the left of you. Not a nice person? Alright, go ahead and drink 2 times.;1;2;0
There you go! Flirt with the Toilet or drink 2 sips.;1;2;0
Bond, James Bond. Act like him. You may also drink 2 sips.1;2;0
Look angry at the player to the right of you until he laughs. Are you giving up? Then drink 3 times!;1;3;0
Time to show who the true Slim Shady is! Make a rap about yesterday or drink 2 sips on your failed career as a rapper .; 1; 2; 0
25 seconds to down 5 glasses of water. You didn't manage to make it? 3 sips for you my friend!;1;3;25
Look to the left and and tell the player: Damn you're hot! Ok, I get it you are boring. 2 sips for you.;1;2;0
O Sole Mio ... Show us all your loud vocal organ and an opera for 15 seconds or drink 3 times .; 1; 3; 15
We are a social platform, So publish a Facebook post with the words Teddy, Fungus, Shisha, Melons and Power Rangers. At the end of the post you use the hashtag "#CheersApp". If you do not want to support the app, you'll drink 15 sips.;1;15;0
Have you ever named a cocktail after yourself? If so, you can drink 1 sip and continue 1 field. If you have not, you drink 3 times.;1;3;0
Act like you are surfing the biggest wave ever! Oops, you lose your balance and are knocked over by the wave after 5 seconds. Are you not the surfer type and prefer to drink 3 sips?1;3;5
Are you proud of your body? If so, then move your ass to the next field. If not then you drink 4 times.;1;4;0
He has orange skin and wears a blond toupee! Well, do you know who I mean? No? Then drink 5 times!;1;5;0
Text your mother, you expect a child, you are only allwed to tell her the truth after the game. If you don't want her to get a heart attack, suffer for her and drink 2 times;1;2;0
Text your siblings that they have been adopted. If you do not want to hurt your siblings, then suffer for them and drink 2 times;1;2;0
Describe your craziest dream that you remember. Do you feel ashamed? Then drink 2 times.;1;2;0
Make a weird face and no we don't mean your normal face! If at least one person grinns or laughs you are freed from the 2 sips.;1;2;0
If you can't reach your nose with your tongue you need to drink 2 sips.;1;2;0
If you drink a glass of milk, then you go on. If you drink 2 sips of alcohol, then you stop.;1;2;0
Oh no!! -oPlayer- has a heart attack, get out your imaginary defibrillator and defibrillate that person 5 times. If you let your friend die, you need to drink 4 sips to his funeral PS: The funeral is now.;1;4;0
Now the hips are swinging. Each player calls you an art dance style whip, Nae Nae, Shmoney dance and more. Drink for swallowing.;1;3;0
Distribute 2 sips or drink 2 sips and continue one square.;1;2;0
-oPlayer- may hit you against the arm or drink twice.;1;2;0
Are you smaller than -oPlayer-? Then you have to drink 2 times, if not continue.;1;2;0
Watch how you talk to other people! You are not allowed to use any bad words anymore! You have to drink twice for every time you forget. If you have a dirty mouth and you you want to keep it, you can also drink 3 times.;1;3;0
Been diggin' for gold today? No? Go ahead and pick your nose for 10 seconds, otherwise you'll have to drink 2 sips.;1;2;10
Drink twice and go on; 1; 2; 0
Drink twice and go on; 1; 2; 0
Drink twice and go on; 1; 2; 0
Drink twice and go on; 1; 2; 0
Drink twice and go on; 1; 2; 0
Drink 3 times and go on !; 1; 3; 0
Drink 3 times and go on !; 1; 3; 0
Drink 3 times and go on !; 1; 3; 0
Drink 3 times and go on !; 1; 3; 0
Drink 3 times and go on !; 1; 3; 0
