1.	Cierna alebo cervená?
2. 	Vyššia alebo nižšia?
3.	Medzi císlami alebo mimo?
4.	Aký vzor?


Overtime mode.
Teraz ide do predlženia. Obidvaja hráci hovoria striedavo ci je karta vyššia alebo nižšia. Ten , ktorý ako prvý neuhádol prehráva.

x1.	-Hrác- rozdávaš 1 hlt.
x2.	-Hrác- ty môžeš tiež rozdat 1 hlt.
x2a.	-Hrác- ty samozrejme tiež

x3.	-Hrác- rozdávaš 2 hlty	
x3a.	-Hrác- ty môžeš tiež rozdat 2 hlty.
x3b.	-Hrác- ty samozrejme tiež

x4.	-Hrác- rozdávaš 3 hlty	
x4a.	-Hrác- ty môžeš tiež rozdat 3 hlty.
x4b.	-Hrác- rozdaj tiež 3 hlty

x5.	-Hrác- rozdávaš 4 hlty	
x5a.	-Hrác- ty môžeš tiež rozdat 4 hlty.
x5b.	-Hrác- ty tiež

x6.	-Hrác- Srdecná grtulácia! Môžeš sa odviezt autobusom!  Vela štastia!

x7.	Napi sa 1 krát.
x7/2.	Napi sa 1 krát a pokracuj!
x7a.	Napi sa 2 krát.
x7a/2.	Napi sa 2 krát a pokracuj!
x7b.	Napi sa 3 krát.
x7b/2.	Napi sa 3 krát a pokracuj!
x7c.	Napi sa 4 krát.
x7c/2.	Napi sa 4 krát a pokracuj!
x7d.	Napi sa 5 krát.
x7d/2.	Napi sa 5 krát a pokracuj!
x7e.	Napi sa 6 krát.
x7e/2.	Napi sa 6 krát a pokracuj! 	
x7f.	Napi sa 7 krát.
x7f/2.	Napi sa 7 krát a pokracuj!

x.8	Teraz si pravdepodobne trochu pripitý ale zvládol si to !

 	
